,events.out.tfevents.1556283114.drltf.events.model
1000,42.54999923706055
2000,45.45000076293945
3000,42.45000076293945
4000,42.45000076293945
5000,45.45000076293945
6000,48.599998474121094
7000,48.70000076293945
8000,42.599998474121094
9000,45.599998474121094
10000,54.75
11000,44.04999923706055
12000,39.45000076293945
13000,51.54999923706055
14000,43.95000076293945
15000,42.5
16000,56.04999923706055
17000,45.45000076293945
18000,48.650001525878906
19000,48.599998474121094
20000,60.900001525878906
21000,57.650001525878906
22000,70.19999694824219
23000,54.599998474121094
24000,54.70000076293945
25000,60.900001525878906
26000,50.150001525878906
27000,51.599998474121094
28000,44.20000076293945
29000,45.650001525878906
30000,57.75
31000,66.94999694824219
32000,51.79999923706055
33000,48.5
34000,54.650001525878906
35000,65.25
36000,57.599998474121094
37000,71.25
38000,45.54999923706055
39000,51.70000076293945
40000,47.04999923706055
41000,63.79999923706055
42000,75.94999694824219
43000,50.150001525878906
44000,65.1500015258789
45000,84.94999694824219
46000,76.05000305175781
47000,73.1500015258789
48000,63.75
49000,70.05000305175781
50000,69.80000305175781
51000,72.94999694824219
52000,93.94999694824219
53000,57.75
54000,67.30000305175781
55000,62.54999923706055
56000,73.0
57000,76.0999984741211
58000,57.75
59000,82.0
60000,97.0999984741211
61000,86.5
62000,85.1500015258789
63000,104.94999694824219
64000,97.19999694824219
65000,75.94999694824219
66000,81.80000305175781
67000,103.1500015258789
68000,120.1500015258789
69000,76.0
70000,86.3499984741211
71000,94.1500015258789
72000,89.9000015258789
73000,88.0999984741211
74000,77.5
75000,85.0999984741211
76000,85.0999984741211
77000,85.0999984741211
78000,116.75
79000,115.4000015258789
80000,101.69999694824219
81000,91.1500015258789
82000,116.80000305175781
83000,113.69999694824219
84000,124.5
85000,130.64999389648438
86000,111.0
87000,91.30000305175781
88000,92.8499984741211
89000,115.5999984741211
90000,113.80000305175781
91000,118.25
92000,136.35000610351562
93000,144.0500030517578
94000,138.0
95000,129.39999389648438
96000,127.75
97000,94.0999984741211
98000,88.05000305175781
99000,97.0999984741211
100000,106.0999984741211
101000,109.05000305175781
102000,107.80000305175781
103000,113.8499984741211
104000,112.19999694824219
105000,112.05000305175781
106000,127.05000305175781
107000,145.39999389648438
108000,110.94999694824219
109000,91.0
110000,115.25
111000,104.8499984741211
112000,89.5
113000,111.94999694824219
114000,145.14999389648438
115000,134.4499969482422
116000,96.9000015258789
117000,103.0999984741211
118000,110.69999694824219
119000,152.85000610351562
120000,160.14999389648438
121000,141.89999389648438
122000,136.0500030517578
123000,143.5500030517578
124000,140.75
125000,151.4499969482422
126000,139.5
127000,150.0
128000,156.0
129000,169.64999389648438
130000,178.85000610351562
131000,146.85000610351562
132000,142.64999389648438
133000,127.5999984741211
134000,112.5
135000,109.25
136000,122.75
137000,146.9499969482422
138000,136.3000030517578
139000,112.0
140000,106.0999984741211
141000,130.0500030517578
142000,143.75
143000,176.75
144000,184.0500030517578
145000,176.5
146000,164.5
147000,182.64999389648438
148000,176.89999389648438
149000,190.5500030517578
150000,208.5500030517578
151000,166.5
152000,132.10000610351562
153000,166.75
154000,158.89999389648438
155000,175.5500030517578
156000,138.14999389648438
157000,147.25
158000,153.6999969482422
159000,154.89999389648438
160000,148.85000610351562
161000,134.85000610351562
162000,148.6999969482422
163000,133.64999389648438
164000,132.35000610351562
165000,142.60000610351562
166000,165.35000610351562
167000,174.3000030517578
168000,171.60000610351562
169000,160.89999389648438
