,events.out.tfevents.1556230764.drltf.events.model
1000,1.0
2000,1.0
3000,1.0
4000,1.0
5000,1.0
6000,1.0
7000,1.0
8000,1.0
9000,1.0
10000,1.0
11000,0.9909999966621399
12000,0.9819999933242798
13000,0.9729999899864197
14000,0.9639999866485596
15000,0.9549999833106995
16000,0.9459999799728394
17000,0.9369999766349792
18000,0.9279999732971191
19000,0.9190000295639038
20000,0.9100000262260437
21000,0.9010000228881836
22000,0.8920000195503235
23000,0.8830000162124634
24000,0.8740000128746033
25000,0.8650000095367432
26000,0.8560000061988831
27000,0.847000002861023
28000,0.8379999995231628
29000,0.8289999961853027
30000,0.8199999928474426
31000,0.8109999895095825
32000,0.8019999861717224
33000,0.7929999828338623
34000,0.7839999794960022
35000,0.7749999761581421
36000,0.765999972820282
37000,0.7570000290870667
38000,0.7480000257492065
39000,0.7390000224113464
40000,0.7300000190734863
41000,0.7210000157356262
42000,0.7120000123977661
43000,0.703000009059906
44000,0.6940000057220459
45000,0.6850000023841858
46000,0.6759999990463257
47000,0.6669999957084656
48000,0.6579999923706055
49000,0.6489999890327454
50000,0.6399999856948853
51000,0.6309999823570251
52000,0.621999979019165
53000,0.6129999756813049
54000,0.6039999723434448
55000,0.5950000286102295
56000,0.5860000252723694
57000,0.5770000219345093
58000,0.5680000185966492
59000,0.5590000152587891
60000,0.550000011920929
61000,0.5410000085830688
62000,0.5320000052452087
63000,0.5230000019073486
64000,0.5139999985694885
65000,0.5049999952316284
66000,0.4959999918937683
67000,0.4869999885559082
68000,0.4779999852180481
69000,0.4690000116825104
70000,0.46000000834465027
71000,0.45100000500679016
72000,0.44200000166893005
73000,0.43299999833106995
74000,0.42399999499320984
75000,0.41499999165534973
76000,0.4059999883174896
77000,0.3970000147819519
78000,0.3880000114440918
79000,0.3790000081062317
80000,0.3700000047683716
81000,0.3610000014305115
82000,0.35199999809265137
83000,0.34299999475479126
84000,0.33399999141693115
85000,0.32499998807907104
86000,0.3160000145435333
87000,0.3070000112056732
88000,0.2980000078678131
89000,0.289000004529953
90000,0.2800000011920929
91000,0.2709999978542328
92000,0.2619999945163727
93000,0.2529999911785126
94000,0.24400000274181366
95000,0.23499999940395355
96000,0.22599999606609344
97000,0.21699999272823334
98000,0.20800000429153442
99000,0.19900000095367432
100000,0.1899999976158142
101000,0.1809999942779541
102000,0.1720000058412552
103000,0.16300000250339508
104000,0.15399999916553497
105000,0.14499999582767487
106000,0.13600000739097595
107000,0.12700000405311584
108000,0.11800000071525574
109000,0.10899999737739563
110000,0.10000000149011612
111000,0.10000000149011612
112000,0.10000000149011612
113000,0.10000000149011612
114000,0.10000000149011612
115000,0.10000000149011612
116000,0.10000000149011612
117000,0.10000000149011612
118000,0.10000000149011612
119000,0.10000000149011612
120000,0.10000000149011612
121000,0.10000000149011612
122000,0.10000000149011612
123000,0.10000000149011612
124000,0.10000000149011612
125000,0.10000000149011612
126000,0.10000000149011612
127000,0.10000000149011612
128000,0.10000000149011612
129000,0.10000000149011612
130000,0.10000000149011612
131000,0.10000000149011612
132000,0.10000000149011612
133000,0.10000000149011612
134000,0.10000000149011612
135000,0.10000000149011612
136000,0.10000000149011612
137000,0.10000000149011612
138000,0.10000000149011612
139000,0.10000000149011612
140000,0.10000000149011612
141000,0.10000000149011612
142000,0.10000000149011612
143000,0.10000000149011612
144000,0.10000000149011612
145000,0.10000000149011612
146000,0.10000000149011612
147000,0.10000000149011612
148000,0.10000000149011612
149000,0.10000000149011612
150000,0.10000000149011612
151000,0.10000000149011612
152000,0.10000000149011612
153000,0.10000000149011612
154000,0.10000000149011612
155000,0.10000000149011612
156000,0.10000000149011612
157000,0.10000000149011612
158000,0.10000000149011612
159000,0.10000000149011612
160000,0.10000000149011612
161000,0.10000000149011612
162000,0.10000000149011612
163000,0.10000000149011612
164000,0.10000000149011612
165000,0.10000000149011612
166000,0.10000000149011612
167000,0.10000000149011612
168000,0.10000000149011612
169000,0.10000000149011612
170000,0.10000000149011612
171000,0.10000000149011612
172000,0.10000000149011612
173000,0.10000000149011612
174000,0.10000000149011612
175000,0.10000000149011612
176000,0.10000000149011612
177000,0.10000000149011612
178000,0.10000000149011612
179000,0.10000000149011612
180000,0.10000000149011612
181000,0.10000000149011612
182000,0.10000000149011612
183000,0.10000000149011612
184000,0.10000000149011612
185000,0.10000000149011612
186000,0.10000000149011612
187000,0.10000000149011612
188000,0.10000000149011612
189000,0.10000000149011612
190000,0.10000000149011612
191000,0.10000000149011612
192000,0.10000000149011612
193000,0.10000000149011612
194000,0.10000000149011612
195000,0.10000000149011612
196000,0.10000000149011612
197000,0.10000000149011612
198000,0.10000000149011612
199000,0.10000000149011612
200000,0.10000000149011612
201000,0.10000000149011612
202000,0.10000000149011612
203000,0.10000000149011612
204000,0.10000000149011612
205000,0.10000000149011612
206000,0.10000000149011612
207000,0.10000000149011612
208000,0.10000000149011612
209000,0.10000000149011612
210000,0.10000000149011612
211000,0.10000000149011612
212000,0.10000000149011612
213000,0.10000000149011612
214000,0.10000000149011612
215000,0.10000000149011612
216000,0.10000000149011612
217000,0.10000000149011612
218000,0.10000000149011612
219000,0.10000000149011612
220000,0.10000000149011612
221000,0.10000000149011612
222000,0.10000000149011612
223000,0.10000000149011612
224000,0.10000000149011612
225000,0.10000000149011612
226000,0.10000000149011612
227000,0.10000000149011612
228000,0.10000000149011612
229000,0.10000000149011612
230000,0.10000000149011612
231000,0.10000000149011612
232000,0.10000000149011612
233000,0.10000000149011612
234000,0.10000000149011612
235000,0.10000000149011612
236000,0.10000000149011612
237000,0.10000000149011612
238000,0.10000000149011612
239000,0.10000000149011612
240000,0.10000000149011612
241000,0.10000000149011612
242000,0.10000000149011612
243000,0.10000000149011612
244000,0.10000000149011612
245000,0.10000000149011612
246000,0.10000000149011612
247000,0.10000000149011612
248000,0.10000000149011612
249000,0.10000000149011612
250000,0.10000000149011612
251000,0.10000000149011612
252000,0.10000000149011612
253000,0.10000000149011612
254000,0.10000000149011612
255000,0.10000000149011612
256000,0.10000000149011612
257000,0.10000000149011612
258000,0.10000000149011612
259000,0.10000000149011612
260000,0.10000000149011612
261000,0.10000000149011612
262000,0.10000000149011612
263000,0.10000000149011612
264000,0.10000000149011612
265000,0.10000000149011612
266000,0.10000000149011612
267000,0.10000000149011612
268000,0.10000000149011612
269000,0.10000000149011612
270000,0.10000000149011612
271000,0.10000000149011612
272000,0.10000000149011612
273000,0.10000000149011612
274000,0.10000000149011612
275000,0.10000000149011612
276000,0.10000000149011612
277000,0.10000000149011612
278000,0.10000000149011612
279000,0.10000000149011612
280000,0.10000000149011612
281000,0.10000000149011612
282000,0.10000000149011612
283000,0.10000000149011612
284000,0.10000000149011612
285000,0.10000000149011612
286000,0.10000000149011612
287000,0.10000000149011612
288000,0.10000000149011612
289000,0.10000000149011612
290000,0.10000000149011612
291000,0.10000000149011612
292000,0.10000000149011612
293000,0.10000000149011612
294000,0.10000000149011612
295000,0.10000000149011612
296000,0.10000000149011612
297000,0.10000000149011612
298000,0.10000000149011612
299000,0.10000000149011612
300000,0.10000000149011612
301000,0.10000000149011612
302000,0.10000000149011612
303000,0.10000000149011612
304000,0.10000000149011612
305000,0.10000000149011612
306000,0.10000000149011612
307000,0.10000000149011612
308000,0.10000000149011612
309000,0.10000000149011612
310000,0.10000000149011612
311000,0.10000000149011612
312000,0.10000000149011612
313000,0.10000000149011612
314000,0.10000000149011612
315000,0.10000000149011612
316000,0.10000000149011612
317000,0.10000000149011612
318000,0.10000000149011612
319000,0.10000000149011612
320000,0.10000000149011612
321000,0.10000000149011612
322000,0.10000000149011612
323000,0.10000000149011612
324000,0.10000000149011612
325000,0.10000000149011612
326000,0.10000000149011612
327000,0.10000000149011612
328000,0.10000000149011612
329000,0.10000000149011612
330000,0.10000000149011612
331000,0.10000000149011612
332000,0.10000000149011612
333000,0.10000000149011612
334000,0.10000000149011612
335000,0.10000000149011612
336000,0.10000000149011612
337000,0.10000000149011612
338000,0.10000000149011612
339000,0.10000000149011612
340000,0.10000000149011612
341000,0.10000000149011612
342000,0.10000000149011612
343000,0.10000000149011612
344000,0.10000000149011612
345000,0.10000000149011612
346000,0.10000000149011612
347000,0.10000000149011612
348000,0.10000000149011612
349000,0.10000000149011612
350000,0.10000000149011612
351000,0.10000000149011612
352000,0.10000000149011612
353000,0.10000000149011612
354000,0.10000000149011612
355000,0.10000000149011612
356000,0.10000000149011612
357000,0.10000000149011612
358000,0.10000000149011612
359000,0.10000000149011612
360000,0.10000000149011612
361000,0.10000000149011612
362000,0.10000000149011612
363000,0.10000000149011612
364000,0.10000000149011612
365000,0.10000000149011612
366000,0.10000000149011612
367000,0.10000000149011612
368000,0.10000000149011612
369000,0.10000000149011612
370000,0.10000000149011612
371000,0.10000000149011612
372000,0.10000000149011612
373000,0.10000000149011612
374000,0.10000000149011612
375000,0.10000000149011612
376000,0.10000000149011612
377000,0.10000000149011612
378000,0.10000000149011612
379000,0.10000000149011612
380000,0.10000000149011612
381000,0.10000000149011612
382000,0.10000000149011612
383000,0.10000000149011612
384000,0.10000000149011612
385000,0.10000000149011612
386000,0.10000000149011612
387000,0.10000000149011612
388000,0.10000000149011612
389000,0.10000000149011612
390000,0.10000000149011612
391000,0.10000000149011612
392000,0.10000000149011612
393000,0.10000000149011612
394000,0.10000000149011612
395000,0.10000000149011612
396000,0.10000000149011612
397000,0.10000000149011612
398000,0.10000000149011612
399000,0.10000000149011612
400000,0.10000000149011612
401000,0.10000000149011612
402000,0.10000000149011612
403000,0.10000000149011612
404000,0.10000000149011612
405000,0.10000000149011612
406000,0.10000000149011612
407000,0.10000000149011612
408000,0.10000000149011612
409000,0.10000000149011612
410000,0.10000000149011612
411000,0.10000000149011612
412000,0.10000000149011612
413000,0.10000000149011612
414000,0.10000000149011612
415000,0.10000000149011612
416000,0.10000000149011612
417000,0.10000000149011612
418000,0.10000000149011612
419000,0.10000000149011612
420000,0.10000000149011612
421000,0.10000000149011612
422000,0.10000000149011612
423000,0.10000000149011612
424000,0.10000000149011612
425000,0.10000000149011612
426000,0.10000000149011612
427000,0.10000000149011612
428000,0.10000000149011612
429000,0.10000000149011612
430000,0.10000000149011612
431000,0.10000000149011612
432000,0.10000000149011612
433000,0.10000000149011612
434000,0.10000000149011612
435000,0.10000000149011612
436000,0.10000000149011612
437000,0.10000000149011612
438000,0.10000000149011612
439000,0.10000000149011612
440000,0.10000000149011612
441000,0.10000000149011612
442000,0.10000000149011612
443000,0.10000000149011612
444000,0.10000000149011612
445000,0.10000000149011612
446000,0.10000000149011612
447000,0.10000000149011612
448000,0.10000000149011612
449000,0.10000000149011612
450000,0.10000000149011612
451000,0.10000000149011612
452000,0.10000000149011612
453000,0.10000000149011612
454000,0.10000000149011612
455000,0.10000000149011612
456000,0.10000000149011612
457000,0.10000000149011612
458000,0.10000000149011612
459000,0.10000000149011612
460000,0.10000000149011612
461000,0.10000000149011612
462000,0.10000000149011612
463000,0.10000000149011612
464000,0.10000000149011612
465000,0.10000000149011612
466000,0.10000000149011612
467000,0.10000000149011612
468000,0.10000000149011612
469000,0.10000000149011612
470000,0.10000000149011612
471000,0.10000000149011612
472000,0.10000000149011612
473000,0.10000000149011612
474000,0.10000000149011612
475000,0.10000000149011612
476000,0.10000000149011612
477000,0.10000000149011612
478000,0.10000000149011612
479000,0.10000000149011612
480000,0.10000000149011612
481000,0.10000000149011612
482000,0.10000000149011612
483000,0.10000000149011612
484000,0.10000000149011612
485000,0.10000000149011612
486000,0.10000000149011612
487000,0.10000000149011612
488000,0.10000000149011612
489000,0.10000000149011612
490000,0.10000000149011612
491000,0.10000000149011612
492000,0.10000000149011612
493000,0.10000000149011612
494000,0.10000000149011612
495000,0.10000000149011612
496000,0.10000000149011612
497000,0.10000000149011612
498000,0.10000000149011612
499000,0.10000000149011612
500000,0.10000000149011612
501000,0.10000000149011612
502000,0.10000000149011612
503000,0.10000000149011612
504000,0.10000000149011612
505000,0.10000000149011612
506000,0.10000000149011612
507000,0.10000000149011612
508000,0.10000000149011612
509000,0.10000000149011612
510000,0.10000000149011612
511000,0.10000000149011612
512000,0.10000000149011612
513000,0.10000000149011612
514000,0.10000000149011612
515000,0.10000000149011612
516000,0.10000000149011612
517000,0.10000000149011612
518000,0.10000000149011612
519000,0.10000000149011612
520000,0.10000000149011612
521000,0.10000000149011612
522000,0.10000000149011612
523000,0.10000000149011612
524000,0.10000000149011612
525000,0.10000000149011612
526000,0.10000000149011612
527000,0.10000000149011612
528000,0.10000000149011612
529000,0.10000000149011612
530000,0.10000000149011612
531000,0.10000000149011612
532000,0.10000000149011612
533000,0.10000000149011612
534000,0.10000000149011612
535000,0.10000000149011612
536000,0.10000000149011612
537000,0.10000000149011612
538000,0.10000000149011612
539000,0.10000000149011612
540000,0.10000000149011612
541000,0.10000000149011612
542000,0.10000000149011612
543000,0.10000000149011612
544000,0.10000000149011612
545000,0.10000000149011612
546000,0.10000000149011612
547000,0.10000000149011612
548000,0.10000000149011612
549000,0.10000000149011612
550000,0.10000000149011612
551000,0.10000000149011612
552000,0.10000000149011612
553000,0.10000000149011612
554000,0.10000000149011612
555000,0.10000000149011612
556000,0.10000000149011612
557000,0.10000000149011612
558000,0.10000000149011612
559000,0.10000000149011612
560000,0.10000000149011612
561000,0.10000000149011612
562000,0.10000000149011612
563000,0.10000000149011612
564000,0.10000000149011612
565000,0.10000000149011612
566000,0.10000000149011612
567000,0.10000000149011612
568000,0.10000000149011612
569000,0.10000000149011612
570000,0.10000000149011612
571000,0.10000000149011612
572000,0.10000000149011612
573000,0.10000000149011612
574000,0.10000000149011612
575000,0.10000000149011612
576000,0.10000000149011612
577000,0.10000000149011612
578000,0.10000000149011612
579000,0.10000000149011612
580000,0.10000000149011612
581000,0.10000000149011612
582000,0.10000000149011612
583000,0.10000000149011612
584000,0.10000000149011612
585000,0.10000000149011612
586000,0.10000000149011612
587000,0.10000000149011612
588000,0.10000000149011612
589000,0.10000000149011612
590000,0.10000000149011612
591000,0.10000000149011612
592000,0.10000000149011612
593000,0.10000000149011612
594000,0.10000000149011612
595000,0.10000000149011612
596000,0.10000000149011612
597000,0.10000000149011612
598000,0.10000000149011612
599000,0.10000000149011612
600000,0.10000000149011612
601000,0.10000000149011612
602000,0.10000000149011612
603000,0.10000000149011612
604000,0.10000000149011612
605000,0.10000000149011612
606000,0.10000000149011612
607000,0.10000000149011612
608000,0.10000000149011612
609000,0.10000000149011612
610000,0.10000000149011612
611000,0.10000000149011612
612000,0.10000000149011612
613000,0.10000000149011612
614000,0.10000000149011612
615000,0.10000000149011612
616000,0.10000000149011612
617000,0.10000000149011612
618000,0.10000000149011612
619000,0.10000000149011612
620000,0.10000000149011612
621000,0.10000000149011612
622000,0.10000000149011612
623000,0.10000000149011612
624000,0.10000000149011612
625000,0.10000000149011612
626000,0.10000000149011612
627000,0.10000000149011612
628000,0.10000000149011612
629000,0.10000000149011612
630000,0.10000000149011612
631000,0.10000000149011612
632000,0.10000000149011612
633000,0.10000000149011612
634000,0.10000000149011612
635000,0.10000000149011612
636000,0.10000000149011612
637000,0.10000000149011612
638000,0.10000000149011612
639000,0.10000000149011612
640000,0.10000000149011612
641000,0.10000000149011612
642000,0.10000000149011612
643000,0.10000000149011612
644000,0.10000000149011612
645000,0.10000000149011612
646000,0.10000000149011612
647000,0.10000000149011612
648000,0.10000000149011612
649000,0.10000000149011612
650000,0.10000000149011612
651000,0.10000000149011612
652000,0.10000000149011612
653000,0.10000000149011612
654000,0.10000000149011612
655000,0.10000000149011612
656000,0.10000000149011612
657000,0.10000000149011612
658000,0.10000000149011612
659000,0.10000000149011612
660000,0.10000000149011612
661000,0.10000000149011612
662000,0.10000000149011612
663000,0.10000000149011612
664000,0.10000000149011612
665000,0.10000000149011612
666000,0.10000000149011612
667000,0.10000000149011612
668000,0.10000000149011612
669000,0.10000000149011612
670000,0.10000000149011612
671000,0.10000000149011612
672000,0.10000000149011612
673000,0.10000000149011612
674000,0.10000000149011612
675000,0.10000000149011612
676000,0.10000000149011612
677000,0.10000000149011612
678000,0.10000000149011612
679000,0.10000000149011612
680000,0.10000000149011612
681000,0.10000000149011612
682000,0.10000000149011612
683000,0.10000000149011612
684000,0.10000000149011612
685000,0.10000000149011612
686000,0.10000000149011612
687000,0.10000000149011612
688000,0.10000000149011612
689000,0.10000000149011612
690000,0.10000000149011612
691000,0.10000000149011612
692000,0.10000000149011612
693000,0.10000000149011612
694000,0.10000000149011612
695000,0.10000000149011612
696000,0.10000000149011612
697000,0.10000000149011612
698000,0.10000000149011612
699000,0.10000000149011612
700000,0.10000000149011612
701000,0.10000000149011612
702000,0.10000000149011612
703000,0.10000000149011612
704000,0.10000000149011612
705000,0.10000000149011612
706000,0.10000000149011612
707000,0.10000000149011612
708000,0.10000000149011612
709000,0.10000000149011612
710000,0.10000000149011612
711000,0.10000000149011612
712000,0.10000000149011612
713000,0.10000000149011612
714000,0.10000000149011612
715000,0.10000000149011612
716000,0.10000000149011612
717000,0.10000000149011612
718000,0.10000000149011612
719000,0.10000000149011612
720000,0.10000000149011612
721000,0.10000000149011612
722000,0.10000000149011612
723000,0.10000000149011612
724000,0.10000000149011612
725000,0.10000000149011612
726000,0.10000000149011612
727000,0.10000000149011612
728000,0.10000000149011612
729000,0.10000000149011612
730000,0.10000000149011612
731000,0.10000000149011612
732000,0.10000000149011612
733000,0.10000000149011612
734000,0.10000000149011612
735000,0.10000000149011612
736000,0.10000000149011612
737000,0.10000000149011612
738000,0.10000000149011612
739000,0.10000000149011612
740000,0.10000000149011612
741000,0.10000000149011612
742000,0.10000000149011612
743000,0.10000000149011612
744000,0.10000000149011612
745000,0.10000000149011612
746000,0.10000000149011612
747000,0.10000000149011612
748000,0.10000000149011612
749000,0.10000000149011612
750000,0.10000000149011612
751000,0.10000000149011612
752000,0.10000000149011612
753000,0.10000000149011612
754000,0.10000000149011612
755000,0.10000000149011612
756000,0.10000000149011612
757000,0.10000000149011612
758000,0.10000000149011612
759000,0.10000000149011612
760000,0.10000000149011612
761000,0.10000000149011612
762000,0.10000000149011612
763000,0.10000000149011612
764000,0.10000000149011612
765000,0.10000000149011612
766000,0.10000000149011612
767000,0.10000000149011612
768000,0.10000000149011612
769000,0.10000000149011612
770000,0.10000000149011612
771000,0.10000000149011612
772000,0.10000000149011612
773000,0.10000000149011612
774000,0.10000000149011612
775000,0.10000000149011612
776000,0.10000000149011612
777000,0.10000000149011612
778000,0.10000000149011612
779000,0.10000000149011612
780000,0.10000000149011612
781000,0.10000000149011612
782000,0.10000000149011612
783000,0.10000000149011612
784000,0.10000000149011612
785000,0.10000000149011612
786000,0.10000000149011612
787000,0.10000000149011612
788000,0.10000000149011612
789000,0.10000000149011612
