,events.out.tfevents.1556283114.drltf.events.model
1000,-0.8999999761581421
2000,-1.0
3000,-0.8999999761581421
4000,-1.0
5000,-1.0
6000,-1.0
7000,-1.0
8000,-1.0
9000,-1.0
10000,-0.800000011920929
11000,-0.8999999761581421
12000,-1.0
13000,-0.699999988079071
14000,-1.0
15000,-0.800000011920929
16000,-0.800000011920929
17000,-0.8999999761581421
18000,-0.800000011920929
19000,-0.800000011920929
20000,-1.0
21000,-1.0
22000,-0.8999999761581421
23000,-0.8999999761581421
24000,-0.800000011920929
25000,-0.8999999761581421
26000,-1.0
27000,-1.0
28000,-1.0
29000,-1.0
30000,-0.8999999761581421
31000,-1.0
32000,-0.800000011920929
33000,-0.8999999761581421
34000,-1.0
35000,-0.699999988079071
36000,-0.4000000059604645
37000,-0.6000000238418579
38000,-0.8999999761581421
39000,-0.800000011920929
40000,-1.0
41000,-1.0
42000,-0.8999999761581421
43000,-0.800000011920929
44000,-0.699999988079071
45000,-0.800000011920929
46000,-0.8999999761581421
47000,-1.0
48000,-0.8999999761581421
49000,-0.699999988079071
50000,-1.0
51000,-0.800000011920929
52000,-0.6000000238418579
53000,-0.8999999761581421
54000,-0.800000011920929
55000,-0.699999988079071
56000,-0.800000011920929
57000,-1.0
58000,-0.800000011920929
59000,-0.8999999761581421
60000,-0.8999999761581421
61000,-0.699999988079071
62000,-0.6000000238418579
63000,-0.800000011920929
64000,-0.8999999761581421
65000,-0.800000011920929
66000,-0.699999988079071
67000,-0.8999999761581421
68000,-0.699999988079071
69000,-0.699999988079071
70000,-0.8999999761581421
71000,-0.800000011920929
72000,-0.699999988079071
73000,-0.6000000238418579
74000,-0.6000000238418579
75000,-0.699999988079071
76000,-0.800000011920929
77000,-0.800000011920929
78000,-0.800000011920929
79000,-0.6000000238418579
80000,-0.6000000238418579
81000,-0.5
82000,-0.5
83000,-0.6000000238418579
84000,-0.6000000238418579
85000,-0.6000000238418579
86000,-0.6000000238418579
87000,-0.4000000059604645
88000,-0.30000001192092896
89000,-0.5
90000,-0.699999988079071
91000,-0.6000000238418579
92000,-0.4000000059604645
93000,-0.4000000059604645
94000,-0.4000000059604645
95000,-0.4000000059604645
96000,-0.5
97000,-0.4000000059604645
98000,-0.4000000059604645
99000,-0.30000001192092896
100000,-0.30000001192092896
101000,-0.4000000059604645
102000,-0.4000000059604645
103000,-0.4000000059604645
104000,-0.30000001192092896
105000,-0.5
106000,-0.5
107000,-0.699999988079071
108000,-0.6000000238418579
109000,-0.5
110000,-0.5
111000,-0.5
112000,-0.6000000238418579
113000,-0.5
114000,-0.4000000059604645
115000,-0.20000000298023224
116000,-0.10000000149011612
117000,-0.20000000298023224
118000,-0.30000001192092896
119000,-0.6000000238418579
120000,-0.800000011920929
121000,-0.800000011920929
122000,-0.699999988079071
123000,-0.800000011920929
124000,-0.699999988079071
125000,-0.6000000238418579
126000,-0.4000000059604645
127000,-0.4000000059604645
128000,-0.30000001192092896
129000,-0.20000000298023224
130000,-0.20000000298023224
131000,0.0
132000,0.0
133000,-0.10000000149011612
134000,-0.30000001192092896
135000,-0.5
136000,-0.4000000059604645
137000,-0.4000000059604645
138000,-0.10000000149011612
139000,-0.20000000298023224
140000,-0.20000000298023224
141000,-0.4000000059604645
142000,-0.5
143000,-0.6000000238418579
144000,-0.4000000059604645
145000,-0.30000001192092896
146000,-0.20000000298023224
147000,-0.4000000059604645
148000,-0.4000000059604645
149000,-0.4000000059604645
150000,-0.6000000238418579
151000,-0.30000001192092896
152000,-0.30000001192092896
153000,-0.10000000149011612
154000,0.0
155000,-0.20000000298023224
156000,-0.4000000059604645
157000,-0.30000001192092896
158000,-0.20000000298023224
159000,-0.20000000298023224
160000,-0.5
161000,-0.5
162000,-0.4000000059604645
163000,-0.30000001192092896
164000,-0.30000001192092896
165000,-0.20000000298023224
166000,-0.20000000298023224
167000,0.0
168000,-0.10000000149011612
169000,-0.4000000059604645
170000,-0.5
171000,-0.4000000059604645
172000,-0.4000000059604645
173000,-0.5
174000,-0.5
175000,-0.4000000059604645
176000,-0.4000000059604645
177000,-0.4000000059604645
178000,-0.20000000298023224
179000,-0.20000000298023224
180000,-0.10000000149011612
181000,0.10000000149011612
182000,-0.10000000149011612
183000,-0.30000001192092896
184000,-0.20000000298023224
185000,-0.30000001192092896
186000,-0.30000001192092896
187000,-0.10000000149011612
188000,0.0
189000,-0.10000000149011612
190000,-0.30000001192092896
191000,-0.4000000059604645
192000,-0.4000000059604645
193000,-0.20000000298023224
194000,0.0
195000,0.0
196000,-0.30000001192092896
197000,-0.4000000059604645
198000,-0.4000000059604645
199000,-0.30000001192092896
200000,-0.20000000298023224
201000,-0.10000000149011612
202000,-0.20000000298023224
203000,-0.30000001192092896
204000,-0.20000000298023224
205000,-0.30000001192092896
206000,-0.4000000059604645
207000,-0.4000000059604645
208000,-0.5
209000,-0.5
210000,-0.5
211000,-0.4000000059604645
212000,-0.10000000149011612
213000,-0.20000000298023224
214000,-0.20000000298023224
215000,-0.20000000298023224
216000,-0.30000001192092896
217000,-0.4000000059604645
218000,-0.30000001192092896
219000,-0.20000000298023224
220000,-0.20000000298023224
221000,-0.30000001192092896
222000,-0.4000000059604645
223000,-0.5
224000,-0.5
225000,-0.30000001192092896
226000,-0.10000000149011612
227000,0.0
228000,-0.10000000149011612
229000,-0.30000001192092896
230000,-0.20000000298023224
231000,-0.30000001192092896
232000,-0.10000000149011612
233000,0.0
234000,-0.4000000059604645
235000,-0.4000000059604645
236000,-0.4000000059604645
237000,-0.5
238000,-0.4000000059604645
239000,-0.5
240000,-0.5
241000,-0.5
242000,-0.5
243000,-0.5
244000,-0.20000000298023224
245000,-0.20000000298023224
246000,-0.30000001192092896
247000,-0.10000000149011612
248000,0.0
249000,0.0
250000,0.0
251000,-0.20000000298023224
252000,-0.4000000059604645
253000,-0.4000000059604645
254000,-0.5
255000,-0.6000000238418579
256000,-0.6000000238418579
257000,-0.30000001192092896
258000,-0.30000001192092896
259000,-0.30000001192092896
260000,-0.30000001192092896
261000,-0.30000001192092896
262000,-0.4000000059604645
263000,-0.20000000298023224
264000,-0.20000000298023224
265000,-0.30000001192092896
266000,-0.30000001192092896
267000,-0.4000000059604645
268000,-0.4000000059604645
269000,-0.10000000149011612
270000,-0.20000000298023224
271000,0.0
272000,-0.10000000149011612
273000,-0.4000000059604645
274000,-0.30000001192092896
275000,-0.4000000059604645
276000,-0.20000000298023224
277000,-0.20000000298023224
278000,-0.10000000149011612
279000,-0.20000000298023224
280000,-0.20000000298023224
281000,-0.20000000298023224
282000,-0.20000000298023224
283000,-0.10000000149011612
284000,-0.20000000298023224
285000,-0.20000000298023224
286000,-0.10000000149011612
287000,-0.20000000298023224
288000,-0.20000000298023224
289000,-0.20000000298023224
290000,-0.30000001192092896
291000,-0.5
292000,-0.6000000238418579
293000,-0.5
294000,-0.4000000059604645
295000,-0.4000000059604645
296000,-0.30000001192092896
297000,-0.20000000298023224
298000,-0.30000001192092896
299000,-0.20000000298023224
300000,0.0
301000,0.10000000149011612
302000,0.0
303000,0.0
304000,-0.20000000298023224
305000,-0.4000000059604645
306000,-0.5
307000,-0.5
308000,-0.30000001192092896
309000,-0.10000000149011612
310000,0.0
311000,0.0
312000,0.0
313000,-0.30000001192092896
314000,-0.30000001192092896
315000,-0.20000000298023224
316000,0.0
317000,-0.10000000149011612
318000,-0.20000000298023224
319000,-0.30000001192092896
320000,-0.30000001192092896
321000,-0.10000000149011612
322000,-0.10000000149011612
323000,-0.30000001192092896
324000,-0.5
325000,-0.4000000059604645
326000,-0.20000000298023224
327000,-0.20000000298023224
328000,-0.20000000298023224
329000,-0.10000000149011612
330000,0.0
331000,-0.20000000298023224
332000,0.10000000149011612
333000,0.0
334000,0.10000000149011612
335000,0.10000000149011612
336000,0.10000000149011612
337000,0.0
338000,0.20000000298023224
339000,0.20000000298023224
340000,0.10000000149011612
341000,0.0
342000,-0.20000000298023224
343000,-0.20000000298023224
344000,0.20000000298023224
345000,0.10000000149011612
346000,0.30000001192092896
347000,0.0
348000,0.10000000149011612
349000,0.0
350000,0.10000000149011612
351000,0.0
352000,-0.20000000298023224
353000,-0.20000000298023224
