,events.out.tfevents.1556283114.drltf.events.model
1000,0.0
2000,622.9562377929688
3000,628.8872680664062
4000,621.1713256835938
5000,619.4885864257812
6000,612.7258911132812
7000,611.83544921875
8000,610.53466796875
9000,610.1070556640625
10000,603.1761474609375
11000,45.66008758544922
12000,44.041900634765625
13000,44.022579193115234
14000,44.32326889038086
15000,43.2819938659668
16000,43.203125
17000,42.721168518066406
18000,43.753902435302734
19000,42.989933013916016
20000,43.4986457824707
21000,42.172607421875
22000,41.06552505493164
23000,42.16362762451172
24000,42.8234977722168
25000,43.3619499206543
26000,42.78850173950195
27000,43.70331573486328
28000,43.09580993652344
29000,43.286346435546875
30000,43.174171447753906
31000,43.040557861328125
32000,43.03358840942383
33000,42.5384521484375
34000,42.84477996826172
35000,42.65216064453125
36000,42.6258659362793
37000,41.59752655029297
38000,42.60681915283203
39000,41.14299774169922
40000,42.83969497680664
41000,43.18605422973633
42000,41.94263458251953
43000,40.65011978149414
44000,41.50416564941406
45000,42.09025573730469
46000,41.61027145385742
47000,42.410091400146484
48000,42.54110336303711
49000,40.90986633300781
50000,40.865291595458984
51000,41.16790008544922
52000,40.7918701171875
53000,41.099517822265625
54000,41.23583221435547
55000,41.53707504272461
56000,41.223724365234375
57000,43.053550720214844
58000,41.05140686035156
59000,40.02557373046875
60000,41.76824951171875
61000,41.780113220214844
62000,39.47053909301758
63000,41.21726608276367
64000,40.65104293823242
65000,41.10370635986328
66000,41.3592414855957
67000,40.847599029541016
68000,40.82579803466797
69000,40.30039978027344
70000,41.69852828979492
71000,41.306087493896484
72000,41.853004455566406
73000,41.406707763671875
74000,40.34091567993164
75000,39.28645324707031
76000,40.55647277832031
77000,40.69343185424805
78000,39.599605560302734
79000,40.459228515625
80000,41.09815216064453
81000,39.83876037597656
82000,39.28096008300781
83000,40.46466064453125
84000,42.29022216796875
85000,40.81471252441406
86000,40.35520935058594
87000,39.814735412597656
88000,39.936805725097656
89000,39.286964416503906
90000,40.30615997314453
91000,40.034061431884766
92000,40.258548736572266
93000,41.03751754760742
94000,40.359249114990234
95000,40.82991027832031
96000,39.53200149536133
97000,39.491825103759766
98000,41.3985595703125
99000,40.00365447998047
100000,41.03955841064453
101000,38.42189407348633
102000,38.307861328125
103000,38.15757369995117
104000,38.378047943115234
105000,38.35109329223633
106000,37.81792068481445
107000,38.58234786987305
108000,38.27985763549805
109000,38.193382263183594
110000,37.844932556152344
111000,38.133216857910156
112000,37.61604309082031
113000,41.91582107543945
114000,46.33023452758789
115000,46.506473541259766
116000,46.84758377075195
117000,46.591854095458984
118000,46.8117790222168
119000,46.89693832397461
120000,46.69854736328125
121000,47.1053466796875
122000,47.50990295410156
123000,46.56768035888672
124000,46.21522903442383
125000,46.85493850708008
126000,46.865516662597656
127000,46.52354431152344
128000,46.236690521240234
129000,47.02383041381836
130000,46.31655502319336
131000,46.09654998779297
132000,46.18710708618164
133000,46.73074722290039
134000,46.34286880493164
135000,46.456016540527344
136000,46.7579345703125
137000,46.93765640258789
138000,46.73845291137695
139000,47.24613571166992
140000,47.24850082397461
141000,47.64258575439453
142000,47.56694412231445
143000,47.601768493652344
144000,47.599220275878906
145000,47.8006706237793
146000,47.65044021606445
147000,47.8971061706543
148000,47.636444091796875
149000,47.80559158325195
150000,49.47038269042969
151000,57.95957946777344
152000,59.38801956176758
153000,54.33351135253906
154000,54.38010787963867
155000,54.22220993041992
156000,54.863739013671875
157000,54.91586685180664
158000,53.79954147338867
159000,54.40216064453125
160000,53.88043212890625
161000,53.83366394042969
162000,54.184146881103516
163000,54.76189041137695
164000,54.624488830566406
165000,54.135162353515625
166000,54.5233039855957
167000,54.436370849609375
168000,54.4732666015625
169000,54.588191986083984
170000,54.28664016723633
171000,54.278968811035156
172000,54.18099594116211
173000,54.17815399169922
174000,53.203346252441406
175000,53.2018928527832
176000,54.18765640258789
177000,53.84514617919922
178000,53.59154510498047
179000,53.32683563232422
180000,54.086021423339844
181000,54.34560775756836
182000,54.1984748840332
183000,53.42262649536133
184000,53.857948303222656
185000,54.16734313964844
186000,54.20927810668945
187000,55.22915267944336
188000,54.07343292236328
189000,54.461883544921875
