,events.out.tfevents.1556230764.drltf.events.model
1000,-0.8999999761581421
2000,-0.8999999761581421
3000,-1.0
4000,-1.0
5000,-1.0
6000,-1.0
7000,-0.800000011920929
8000,-0.8999999761581421
9000,-1.0
10000,-1.0
11000,-0.800000011920929
12000,-1.0
13000,-1.0
14000,-1.0
15000,-1.0
16000,-0.8999999761581421
17000,-0.800000011920929
18000,-0.8999999761581421
19000,-1.0
20000,-0.8999999761581421
21000,-0.800000011920929
22000,-0.8999999761581421
23000,-1.0
24000,-0.8999999761581421
25000,-0.800000011920929
26000,-0.8999999761581421
27000,-1.0
28000,-1.0
29000,-0.8999999761581421
30000,-0.8999999761581421
31000,-0.800000011920929
32000,-0.8999999761581421
33000,-0.800000011920929
34000,-0.800000011920929
35000,-1.0
36000,-0.8999999761581421
37000,-0.699999988079071
38000,-0.800000011920929
39000,-0.8999999761581421
40000,-0.800000011920929
41000,-1.0
42000,-1.0
43000,-1.0
44000,-0.8999999761581421
45000,-0.8999999761581421
46000,-1.0
47000,-0.6000000238418579
48000,-1.0
49000,-0.800000011920929
50000,-0.8999999761581421
51000,-0.699999988079071
52000,-0.699999988079071
53000,-1.0
54000,-0.800000011920929
55000,-0.800000011920929
56000,-0.8999999761581421
57000,-0.699999988079071
58000,-0.800000011920929
59000,-0.8999999761581421
60000,-0.699999988079071
61000,-1.0
62000,-0.6000000238418579
63000,-0.800000011920929
64000,-0.8999999761581421
65000,-1.0
66000,-0.800000011920929
67000,-0.699999988079071
68000,-0.800000011920929
69000,-0.8999999761581421
70000,-0.800000011920929
71000,-0.800000011920929
72000,-0.800000011920929
73000,-0.800000011920929
74000,-0.800000011920929
75000,-0.699999988079071
76000,-0.699999988079071
77000,-0.8999999761581421
78000,-1.0
79000,-1.0
80000,-0.800000011920929
81000,-0.800000011920929
82000,-1.0
83000,-0.699999988079071
84000,-1.0
85000,-0.800000011920929
86000,-0.6000000238418579
87000,-0.6000000238418579
88000,-0.699999988079071
89000,-0.699999988079071
90000,-0.699999988079071
91000,-0.800000011920929
92000,-0.8999999761581421
93000,-0.8999999761581421
94000,-0.800000011920929
95000,-0.699999988079071
96000,-0.5
97000,-0.6000000238418579
98000,-0.6000000238418579
99000,-0.6000000238418579
100000,-0.6000000238418579
101000,-0.699999988079071
102000,-0.6000000238418579
103000,-0.5
104000,-0.5
105000,-0.6000000238418579
106000,-0.6000000238418579
107000,-0.8999999761581421
108000,-0.8999999761581421
109000,-0.699999988079071
110000,-0.5
111000,-0.699999988079071
112000,-0.699999988079071
113000,-0.699999988079071
114000,-0.699999988079071
115000,-0.4000000059604645
116000,-0.5
117000,-0.4000000059604645
118000,-0.5
119000,-0.6000000238418579
120000,-0.5
121000,-0.5
122000,-0.6000000238418579
123000,-0.6000000238418579
124000,-0.6000000238418579
125000,-0.4000000059604645
126000,-0.30000001192092896
127000,-0.5
128000,-0.6000000238418579
129000,-0.800000011920929
130000,-0.699999988079071
131000,-0.699999988079071
132000,-0.800000011920929
133000,-0.800000011920929
134000,-0.699999988079071
135000,-0.6000000238418579
136000,-0.5
137000,-0.6000000238418579
138000,-0.699999988079071
139000,-0.699999988079071
140000,-0.699999988079071
141000,-0.6000000238418579
142000,-0.5
143000,-0.5
144000,-0.5
145000,-0.6000000238418579
146000,-0.5
147000,-0.20000000298023224
148000,-0.4000000059604645
149000,-0.4000000059604645
150000,-0.4000000059604645
151000,-0.5
152000,-0.6000000238418579
153000,-0.5
154000,-0.20000000298023224
155000,-0.20000000298023224
156000,-0.4000000059604645
157000,-0.4000000059604645
158000,-0.30000001192092896
159000,-0.4000000059604645
160000,-0.6000000238418579
161000,-0.699999988079071
162000,-0.800000011920929
163000,-0.5
164000,-0.5
165000,-0.4000000059604645
166000,-0.6000000238418579
167000,-0.4000000059604645
168000,-0.30000001192092896
169000,-0.4000000059604645
170000,-0.6000000238418579
