,events.out.tfevents.1556352201.drltf.events.model
1000,-0.6299593448638916
2000,-0.5692318677902222
3000,-0.6861456632614136
4000,-0.6698805093765259
5000,-0.6578031182289124
6000,-0.6760530471801758
7000,-0.6838534474372864
8000,-0.6948294639587402
9000,-0.7172931432723999
10000,-0.7044730186462402
11000,-0.6975258588790894
12000,-0.6844559907913208
13000,-0.718534529209137
14000,-0.7181366086006165
15000,-0.7139976620674133
16000,-0.7138961553573608
17000,-0.7241209745407104
18000,-0.7221555709838867
19000,-0.7286959886550903
20000,-0.7392016649246216
21000,-0.7236649394035339
22000,-0.6681624054908752
23000,-0.645714282989502
24000,-0.6617841124534607
25000,-0.6725274324417114
26000,-0.6867353916168213
27000,-0.6786702275276184
28000,-0.6665794849395752
29000,-0.6677724719047546
30000,-0.7218320965766907
31000,-0.7120900750160217
32000,-0.6966732740402222
33000,-0.6511973142623901
34000,-0.642493486404419
35000,-0.6329923272132874
36000,-0.6306368112564087
37000,-0.6273750066757202
38000,-0.611437976360321
39000,-0.6090726852416992
40000,-0.6322711706161499
41000,-0.6097136735916138
42000,-0.6487804055213928
43000,-0.6333070993423462
44000,-0.6763936877250671
45000,-0.6822041273117065
46000,-0.6727160215377808
47000,-0.6511740684509277
48000,-0.6524869203567505
49000,-0.6811935901641846
50000,-0.6840888261795044
51000,-0.6943864822387695
52000,-0.6631859540939331
53000,-0.6479671597480774
54000,-0.6689528822898865
55000,-0.6393610835075378
56000,-0.6501255035400391
57000,-0.650232195854187
58000,-0.6365975737571716
59000,-0.6386889219284058
60000,-0.660728931427002
61000,-0.644311785697937
62000,-0.6617180705070496
63000,-0.6913695931434631
64000,-0.6811700463294983
65000,-0.6929537057876587
66000,-0.6824968457221985
67000,-0.6870218515396118
68000,-0.680378794670105
69000,-0.6711814403533936
70000,-0.6652419567108154
71000,-0.6347243785858154
72000,-0.6057888269424438
73000,-0.6119210124015808
74000,-0.5877699851989746
75000,-0.6027877926826477
76000,-0.6036546230316162
77000,-0.6337506175041199
78000,-0.6501883268356323
79000,-0.6744349002838135
80000,-0.690757691860199
81000,-0.6778486371040344
82000,-0.6830841302871704
83000,-0.666274905204773
84000,-0.6731470227241516
85000,-0.6862180829048157
86000,-0.6781914830207825
87000,-0.6737332344055176
88000,-0.6985169649124146
89000,-0.7063664197921753
90000,-0.6923527717590332
91000,-0.7074762582778931
92000,-0.675782322883606
93000,-0.6582787036895752
94000,-0.6483888030052185
95000,-0.6183571219444275
96000,-0.64781254529953
97000,-0.6412197351455688
98000,-0.6450391411781311
99000,-0.6564498543739319
100000,-0.6758434772491455
101000,-0.6819044351577759
102000,-0.6978341341018677
103000,-0.6516338586807251
104000,-0.6497188806533813
105000,-0.642867386341095
106000,-0.6493786573410034
107000,-0.6501807570457458
108000,-0.6410645842552185
109000,-0.6462253332138062
110000,-0.6384671926498413
111000,-0.6755490899085999
112000,-0.6965490579605103
