,events.out.tfevents.1556263572.drltf.events.model
1000,-0.693122386932373
2000,-0.692956805229187
3000,-0.692841112613678
4000,-0.6928695440292358
5000,-0.6928956508636475
6000,-0.6927793025970459
7000,-0.6927124857902527
8000,-0.6926522254943848
9000,-0.6924898028373718
10000,-0.6924461126327515
11000,-0.6924155354499817
12000,-0.6923475861549377
13000,-0.6922990083694458
14000,-0.6923292875289917
15000,-0.6923576593399048
16000,-0.6924282312393188
17000,-0.692434549331665
18000,-0.692398726940155
19000,-0.6923615336418152
20000,-0.6922889947891235
21000,-0.692157506942749
22000,-0.6919845938682556
23000,-0.6917691230773926
24000,-0.6916329860687256
25000,-0.691478967666626
26000,-0.6913799047470093
27000,-0.6913135647773743
28000,-0.6912373900413513
29000,-0.6912445425987244
30000,-0.6913459300994873
31000,-0.6914782524108887
32000,-0.6917181015014648
33000,-0.6918937563896179
34000,-0.6921404600143433
35000,-0.6922976970672607
36000,-0.6926118731498718
37000,-0.6927393078804016
38000,-0.6928297877311707
39000,-0.6929229497909546
40000,-0.6929595470428467
41000,-0.6929847002029419
42000,-0.6929891109466553
43000,-0.6929896473884583
44000,-0.6929826140403748
45000,-0.6929675340652466
46000,-0.6929514408111572
47000,-0.6929235458374023
48000,-0.6929028630256653
49000,-0.6928585767745972
50000,-0.692837119102478
51000,-0.6927791833877563
52000,-0.6926619410514832
53000,-0.6925550699234009
54000,-0.6924297213554382
55000,-0.6922552585601807
56000,-0.6920932531356812
57000,-0.69195157289505
58000,-0.6916350722312927
59000,-0.6913554668426514
60000,-0.6910603642463684
61000,-0.6906619071960449
62000,-0.6904871463775635
63000,-0.6899281740188599
64000,-0.6896766424179077
65000,-0.6892991662025452
66000,-0.6883461475372314
67000,-0.6877376437187195
68000,-0.6869524717330933
69000,-0.6858353614807129
70000,-0.6839550733566284
71000,-0.6816147565841675
72000,-0.67926025390625
73000,-0.6771138310432434
74000,-0.6753555536270142
75000,-0.6742074489593506
76000,-0.6727772355079651
77000,-0.6722162365913391
78000,-0.6731259822845459
79000,-0.6740365028381348
80000,-0.6757009029388428
81000,-0.676425576210022
82000,-0.6783689856529236
83000,-0.6795795559883118
84000,-0.6805061101913452
85000,-0.682564377784729
86000,-0.6831632256507874
87000,-0.6838594675064087
88000,-0.6841140389442444
89000,-0.6845022439956665
90000,-0.6846283674240112
91000,-0.6849851012229919
92000,-0.684788703918457
93000,-0.6837915182113647
94000,-0.6833273768424988
95000,-0.6818594932556152
96000,-0.6808182597160339
97000,-0.679783046245575
98000,-0.6780408024787903
99000,-0.6763537526130676
100000,-0.6748825311660767
101000,-0.6732518076896667
102000,-0.6722665429115295
103000,-0.671714186668396
104000,-0.6715131998062134
105000,-0.6706627607345581
106000,-0.6710535287857056
107000,-0.6704572439193726
108000,-0.670697808265686
109000,-0.671065628528595
110000,-0.6693800091743469
111000,-0.6679419875144958
112000,-0.6669288277626038
113000,-0.6641298532485962
114000,-0.6610639095306396
115000,-0.658840537071228
116000,-0.6578570008277893
117000,-0.6585466265678406
118000,-0.6568673253059387
119000,-0.657471776008606
120000,-0.6578760147094727
