,events.out.tfevents.1556263572.drltf.events.model
1000,-0.8823529481887817
2000,-1.0
3000,-1.0
4000,-1.0
5000,-1.0
6000,-1.0
7000,-1.0
8000,-0.800000011920929
9000,-0.800000011920929
10000,-0.8999999761581421
11000,-1.0
12000,-1.0
13000,-1.0
14000,-1.0
15000,-1.0
16000,-0.8999999761581421
17000,-0.699999988079071
18000,-1.0
19000,-0.8999999761581421
20000,-1.0
21000,-0.8999999761581421
22000,-0.8999999761581421
23000,-1.0
24000,-1.0
25000,-1.0
26000,-1.0
27000,-0.800000011920929
28000,-0.8999999761581421
29000,-1.0
30000,-1.0
31000,-0.800000011920929
32000,-0.8999999761581421
33000,-0.800000011920929
34000,-1.0
35000,-0.800000011920929
36000,-1.0
37000,-0.800000011920929
38000,-1.0
39000,-0.8999999761581421
40000,-1.0
41000,-1.0
42000,-1.0
43000,-1.0
44000,-1.0
45000,-0.800000011920929
46000,-1.0
47000,-1.0
48000,-1.0
49000,-1.0
50000,-0.8999999761581421
51000,-0.8999999761581421
52000,-1.0
53000,-1.0
54000,-0.8999999761581421
55000,-0.8999999761581421
56000,-0.8999999761581421
57000,-1.0
58000,-1.0
59000,-1.0
60000,-0.8999999761581421
61000,-0.800000011920929
62000,-1.0
63000,-1.0
64000,-0.8999999761581421
65000,-1.0
66000,-1.0
67000,-0.8999999761581421
68000,-1.0
69000,-1.0
70000,-1.0
71000,-1.0
72000,-0.800000011920929
73000,-1.0
74000,-1.0
75000,-0.8999999761581421
76000,-1.0
77000,-0.8999999761581421
78000,-1.0
79000,-0.8999999761581421
80000,-0.8999999761581421
81000,-0.8999999761581421
82000,-0.800000011920929
83000,-1.0
84000,-1.0
85000,-0.8999999761581421
86000,-0.699999988079071
87000,-0.8999999761581421
88000,-0.8999999761581421
89000,-0.8999999761581421
90000,-0.8999999761581421
91000,-1.0
92000,-1.0
93000,-0.8999999761581421
94000,-0.8999999761581421
95000,-0.8999999761581421
96000,-0.8999999761581421
97000,-0.8999999761581421
98000,-0.8999999761581421
99000,-1.0
100000,-0.8999999761581421
101000,-0.800000011920929
102000,-0.699999988079071
103000,-0.8999999761581421
104000,-0.8999999761581421
105000,-0.699999988079071
106000,-1.0
107000,-1.0
108000,-1.0
109000,-1.0
110000,-1.0
111000,-0.800000011920929
112000,-1.0
113000,-0.8999999761581421
114000,-0.8999999761581421
115000,-1.0
116000,-1.0
117000,-1.0
118000,-1.0
119000,-0.8999999761581421
120000,-0.8999999761581421
121000,-0.8999999761581421
122000,-1.0
123000,-0.8999999761581421
124000,-0.8999999761581421
125000,-0.6000000238418579
126000,-0.800000011920929
127000,-0.8999999761581421
128000,-0.699999988079071
129000,-0.800000011920929
130000,-0.699999988079071
131000,-1.0
132000,-1.0
133000,-0.8999999761581421
134000,-1.0
135000,-0.8999999761581421
136000,-1.0
137000,-1.0
138000,-1.0
139000,-1.0
140000,-0.800000011920929
141000,-0.800000011920929
142000,-0.8999999761581421
143000,-1.0
144000,-1.0
145000,-1.0
146000,-0.699999988079071
147000,-1.0
148000,-0.800000011920929
149000,-0.800000011920929
150000,-1.0
151000,-0.8999999761581421
152000,-0.8999999761581421
153000,-0.800000011920929
154000,-0.800000011920929
155000,-0.8999999761581421
156000,-0.800000011920929
157000,-1.0
158000,-0.8999999761581421
159000,-0.800000011920929
160000,-0.800000011920929
161000,-0.8999999761581421
162000,-0.800000011920929
163000,-0.8999999761581421
164000,-0.8999999761581421
165000,-0.699999988079071
166000,-0.800000011920929
167000,-0.800000011920929
168000,-0.800000011920929
169000,-1.0
170000,-1.0
171000,-0.800000011920929
172000,-1.0
173000,-0.800000011920929
174000,-1.0
175000,-0.8999999761581421
176000,-1.0
177000,-0.699999988079071
178000,-0.800000011920929
179000,-0.800000011920929
180000,-0.699999988079071
181000,-0.8999999761581421
182000,-0.8999999761581421
183000,-0.8999999761581421
184000,-1.0
185000,-0.8999999761581421
186000,-0.800000011920929
187000,-1.0
188000,-0.699999988079071
189000,-0.800000011920929
190000,-0.800000011920929
191000,-0.8999999761581421
192000,-0.8999999761581421
193000,-1.0
194000,-0.8999999761581421
195000,-0.8999999761581421
196000,-1.0
197000,-0.699999988079071
198000,-0.699999988079071
199000,-0.8999999761581421
200000,-0.8999999761581421
201000,-0.8999999761581421
202000,-0.8999999761581421
203000,-1.0
204000,-0.8999999761581421
205000,-0.800000011920929
206000,-0.800000011920929
207000,-0.800000011920929
