,events.out.tfevents.1556352201.drltf.events.model
1000,0.3871394693851471
2000,0.31261155009269714
3000,0.39079150557518005
4000,0.3939792811870575
5000,0.39559638500213623
6000,0.39561188220977783
7000,0.4051778018474579
8000,0.4086397588253021
9000,0.42680078744888306
10000,0.4113730490207672
11000,0.3895065188407898
12000,0.39615848660469055
13000,0.40898028016090393
14000,0.4018341898918152
15000,0.40569204092025757
16000,0.3920212388038635
17000,0.397858202457428
18000,0.40186771750450134
19000,0.4002832770347595
20000,0.41442927718162537
21000,0.40692776441574097
22000,0.3829929530620575
23000,0.3615073263645172
24000,0.3613843321800232
25000,0.37160640954971313
26000,0.3840768337249756
27000,0.3769598603248596
28000,0.3769384026527405
29000,0.3642868399620056
30000,0.38907814025878906
31000,0.3998134136199951
32000,0.3791375160217285
33000,0.3689115345478058
34000,0.3485528528690338
35000,0.3425740897655487
36000,0.32184964418411255
37000,0.31962886452674866
38000,0.32066652178764343
39000,0.30556386709213257
40000,0.31325000524520874
41000,0.30221834778785706
42000,0.31323784589767456
43000,0.31553059816360474
44000,0.3274437189102173
45000,0.34331366419792175
46000,0.3425002992153168
47000,0.34026655554771423
48000,0.3331814408302307
49000,0.35125938057899475
50000,0.35120660066604614
51000,0.3528030216693878
52000,0.33150410652160645
53000,0.3225387930870056
54000,0.3118956983089447
55000,0.2999556362628937
56000,0.2950232923030853
57000,0.295887291431427
58000,0.2801387310028076
59000,0.2717152535915375
60000,0.2697714567184448
61000,0.28489434719085693
62000,0.28244614601135254
63000,0.3084544241428375
64000,0.31564468145370483
65000,0.3005658686161041
66000,0.302082359790802
67000,0.291778564453125
68000,0.29636484384536743
69000,0.2867880165576935
70000,0.2801099717617035
71000,0.27236440777778625
72000,0.24919871985912323
73000,0.24686065316200256
74000,0.23043116927146912
75000,0.23418831825256348
76000,0.24352815747261047
77000,0.238277867436409
78000,0.2463379204273224
79000,0.26266032457351685
80000,0.29061394929885864
81000,0.26716816425323486
82000,0.2737686038017273
83000,0.26709243655204773
84000,0.27269214391708374
85000,0.2791918218135834
86000,0.27540820837020874
87000,0.262978196144104
88000,0.2496803104877472
89000,0.25321653485298157
90000,0.23702268302440643
91000,0.2404693067073822
92000,0.21024732291698456
93000,0.18448221683502197
94000,0.17213109135627747
95000,0.15519286692142487
96000,0.15129344165325165
97000,0.162415012717247
98000,0.17090871930122375
99000,0.17870952188968658
100000,0.17184202373027802
101000,0.17670641839504242
102000,0.18865880370140076
103000,0.18412338197231293
104000,0.17982931435108185
105000,0.17097608745098114
106000,0.17682412266731262
107000,0.17678631842136383
108000,0.16583040356636047
109000,0.16610948741436005
110000,0.17234160006046295
111000,0.1870305836200714
112000,0.18404309451580048
113000,0.1804628223180771
114000,0.1764444261789322
115000,0.16587476432323456
116000,0.14284470677375793
117000,0.1330682635307312
118000,0.1059582456946373
119000,0.0873425155878067
120000,0.08251674473285675
121000,0.06175555661320686
122000,0.04304584860801697
123000,0.055125586688518524
124000,0.04700912535190582
125000,0.04616390913724899
126000,0.043068233877420425
127000,0.05872016027569771
128000,0.07358497381210327
129000,0.0734916627407074
130000,0.07931947708129883
131000,0.08137179911136627
132000,0.07814089953899384
133000,0.07005250453948975
134000,0.055095426738262177
135000,0.048478223383426666
136000,0.045224688947200775
137000,0.027475669980049133
138000,0.02774670720100403
139000,0.019272785633802414
140000,0.024327505379915237
141000,0.022819535806775093
142000,0.011954993940889835
143000,0.011112610809504986
144000,0.025849809870123863
145000,0.011166841723024845
146000,0.004567256662994623
147000,0.00310267461463809
148000,-0.0028530440758913755
149000,-0.014247506856918335
150000,-0.018675779923796654
151000,-0.01879255846142769
152000,-0.026484986767172813
153000,-0.027821829542517662
154000,-0.045946817845106125
155000,-0.037115443497896194
156000,-0.05117585137486458
157000,-0.04290943592786789
158000,-0.04377434402704239
159000,-0.04925122112035751
160000,-0.06719167530536652
161000,-0.06306914240121841
162000,-0.05996136739850044
163000,-0.05250425264239311
164000,-0.04231249913573265
165000,-0.0367419607937336
166000,-0.013148958794772625
167000,-0.028516456484794617
168000,-0.029159903526306152
169000,-0.027540510520339012
170000,-0.017544280737638474
