,events.out.tfevents.1556263572.drltf.events.model
1000,0.0
2000,227.5961151123047
3000,270.8158874511719
4000,230.3807373046875
5000,253.42173767089844
6000,271.9312744140625
7000,243.8884735107422
8000,264.2611389160156
9000,231.7296142578125
10000,276.2772216796875
11000,261.4034423828125
12000,249.79933166503906
13000,258.1815490722656
14000,273.16064453125
15000,243.94557189941406
16000,261.2513732910156
17000,248.9747772216797
18000,267.4961242675781
19000,274.1213073730469
20000,266.4148864746094
21000,255.58213806152344
22000,276.86456298828125
23000,252.33499145507812
24000,258.9582824707031
25000,246.80520629882812
26000,250.23281860351562
27000,252.8011016845703
28000,230.5897216796875
29000,249.8286590576172
30000,266.6129455566406
31000,281.4325866699219
32000,255.14308166503906
33000,261.0098876953125
34000,270.8704833984375
35000,281.2118835449219
36000,228.5582275390625
37000,246.79763793945312
38000,279.3057861328125
39000,244.81881713867188
40000,283.870361328125
41000,230.94647216796875
42000,277.8367614746094
43000,258.1070556640625
44000,278.09930419921875
45000,266.1965026855469
46000,258.5785217285156
47000,250.57296752929688
48000,263.93939208984375
49000,255.13316345214844
50000,238.51785278320312
51000,252.3429412841797
52000,253.519287109375
53000,264.5651550292969
54000,264.4155578613281
55000,260.6740417480469
56000,250.9630889892578
57000,262.4228515625
58000,264.60540771484375
59000,280.5773010253906
60000,255.64825439453125
61000,239.28179931640625
62000,265.4091491699219
63000,254.29559326171875
64000,255.8784942626953
65000,256.67755126953125
66000,243.31027221679688
67000,291.1213073730469
68000,243.39840698242188
69000,269.501953125
70000,280.2893981933594
71000,269.0910949707031
72000,253.189697265625
73000,260.08544921875
74000,246.12071228027344
75000,258.5586853027344
76000,274.4364318847656
77000,283.4115295410156
78000,261.9930114746094
79000,284.43072509765625
80000,254.9962158203125
81000,291.4335021972656
82000,249.86480712890625
83000,277.68414306640625
84000,278.2145080566406
85000,238.73439025878906
86000,260.6051330566406
87000,237.50729370117188
88000,239.49655151367188
89000,269.8425598144531
90000,244.7404327392578
91000,247.8931884765625
92000,265.5111083984375
93000,236.38934326171875
94000,249.43434143066406
95000,276.8386535644531
96000,236.84963989257812
97000,250.90171813964844
98000,253.5757293701172
99000,249.96902465820312
100000,263.9688415527344
101000,252.9356231689453
102000,229.5426025390625
103000,261.9386291503906
104000,264.3505554199219
105000,263.4672546386719
106000,265.2614440917969
