,events.out.tfevents.1556378386.drltf.events.model
1000,-0.2508278489112854
2000,-0.27360397577285767
3000,-0.29865163564682007
4000,-0.2959213852882385
5000,-0.3063049018383026
6000,-0.2858593463897705
7000,-0.2894369065761566
8000,-0.29116296768188477
9000,-0.3011365234851837
10000,-0.2853122353553772
11000,-0.28214073181152344
12000,-0.274392306804657
13000,-0.2760832607746124
14000,-0.2802637219429016
15000,-0.26321613788604736
16000,-0.26998957991600037
17000,-0.2708454728126526
18000,-0.27402496337890625
19000,-0.2693565785884857
20000,-0.2601052224636078
21000,-0.2597615718841553
22000,-0.2477666437625885
23000,-0.23678083717823029
24000,-0.23411083221435547
25000,-0.22494642436504364
26000,-0.22032935917377472
27000,-0.21205556392669678
28000,-0.21517905592918396
29000,-0.21707840263843536
30000,-0.21910569071769714
31000,-0.22278913855552673
32000,-0.22002331912517548
33000,-0.21747294068336487
34000,-0.206224724650383
35000,-0.20644092559814453
36000,-0.20811644196510315
37000,-0.20773060619831085
38000,-0.20266084372997284
39000,-0.19704268872737885
40000,-0.1900104582309723
41000,-0.18619582056999207
42000,-0.18552131950855255
43000,-0.1832009255886078
44000,-0.17906492948532104
45000,-0.17717239260673523
46000,-0.17143160104751587
47000,-0.16898213326931
48000,-0.16303448379039764
49000,-0.16117599606513977
50000,-0.14854241907596588
51000,-0.14179758727550507
52000,-0.1328316032886505
53000,-0.12336502224206924
54000,-0.10559453070163727
55000,-0.10147978365421295
56000,-0.09481862932443619
57000,-0.08803572505712509
58000,-0.08786545693874359
59000,-0.07635051757097244
60000,-0.07886741310358047
61000,-0.077878937125206
62000,-0.0696791335940361
63000,-0.07376937568187714
64000,-0.0739707499742508
65000,-0.06341899931430817
66000,-0.06225930526852608
67000,-0.07114580273628235
68000,-0.05518663674592972
69000,-0.04944509267807007
70000,-0.04314462095499039
71000,-0.0552125945687294
72000,-0.0530969500541687
73000,-0.047449953854084015
74000,-0.04633919894695282
75000,-0.03326950967311859
76000,-0.027682101354002953
77000,-0.03758248686790466
78000,-0.05257166177034378
79000,-0.03319014236330986
80000,-0.03742989897727966
81000,-0.03451856970787048
82000,-0.02631860040128231
83000,-0.0519590899348259
84000,-0.05243677645921707
85000,-0.06491043418645859
86000,-0.05906234309077263
87000,-0.0725257620215416
88000,-0.07095474004745483
89000,-0.0700184553861618
90000,-0.07205966114997864
91000,-0.07312574982643127
92000,-0.07335267215967178
93000,-0.06527058780193329
94000,-0.058130551129579544
95000,-0.056366294622421265
96000,-0.04280863329768181
97000,-0.03807487338781357
98000,-0.04316035285592079
99000,-0.042751289904117584
100000,-0.03264826908707619
101000,-0.03262176737189293
102000,-0.027532273903489113
103000,-0.03448529914021492
104000,-0.03301823139190674
105000,-0.02563614770770073
106000,-0.030692726373672485
107000,-0.02048345096409321
108000,-0.019033115357160568
109000,-0.012789733707904816
110000,-0.008257170207798481
111000,-0.001359923742711544
112000,0.0011824248358607292
113000,0.0023834090679883957
114000,0.004811873193830252
115000,0.009177043102681637
116000,0.017494751140475273
117000,0.020620660856366158
118000,0.02067580819129944
119000,0.025195235386490822
120000,0.03559138998389244
121000,0.039964862167835236
122000,0.0507705882191658
123000,0.04860580712556839
124000,0.043983615934848785
125000,0.03757430240511894
126000,0.030732106417417526
127000,0.031352363526821136
128000,0.028595423325896263
129000,0.0164913609623909
130000,0.01404116116464138
131000,0.015671994537115097
132000,0.007949253544211388
133000,0.006090917624533176
134000,0.006442864425480366
135000,0.015358378179371357
136000,-0.0003609588311519474
137000,0.010010856203734875
138000,0.00618705665692687
139000,0.003935479559004307
140000,-0.0006186343962326646
141000,-0.007520229555666447
142000,-0.003976230043917894
143000,-0.013946655206382275
144000,-0.02051815204322338
145000,-0.020996347069740295
146000,-0.023830454796552658
147000,-0.03624332696199417
148000,-0.044986747205257416
149000,-0.04843122512102127
150000,-0.04565234109759331
151000,-0.04908745735883713
152000,-0.050229109823703766
153000,-0.0459185428917408
154000,-0.04698266461491585
155000,-0.05072668194770813
156000,-0.04578518122434616
157000,-0.038419000804424286
158000,-0.031921450048685074
159000,-0.03147730976343155
160000,-0.03514546900987625
161000,-0.03515447676181793
162000,-0.02921152673661709
163000,-0.03242001682519913
164000,-0.034014128148555756
165000,-0.03177974745631218
166000,-0.034369926899671555
167000,-0.03297925367951393
168000,-0.026352260261774063
169000,-0.028039470314979553
170000,-0.021881096065044403
171000,-0.015533028170466423
172000,-0.01467625517398119
173000,-0.004189119674265385
174000,-0.0018555175047367811
175000,0.0009556168806739151
176000,0.000719268515240401
177000,0.006355968303978443
178000,0.009569099172949791
179000,0.0018558421870693564
180000,-0.004277781117707491
181000,-0.0010752545204013586
182000,0.0001273117959499359
183000,-0.006633681245148182
184000,-0.00694724265486002
185000,-0.012174181640148163
186000,-0.01287028193473816
187000,-0.014692584052681923
188000,-0.01727462187409401
189000,-0.02024577185511589
190000,-0.02404363639652729
191000,-0.02145591378211975
192000,-0.02150772139430046
193000,-0.029208164662122726
194000,-0.031221315264701843
195000,-0.03263402730226517
196000,-0.034859973937273026
197000,-0.03560424968600273
