,events.out.tfevents.1556378386.drltf.events.model
1000,-0.36181607842445374
2000,-0.39493757486343384
3000,-0.4310902953147888
4000,-0.4272380769252777
5000,-0.44209280610084534
6000,-0.4126041531562805
7000,-0.4176388084888458
8000,-0.42032280564308167
9000,-0.434691846370697
10000,-0.4117194712162018
11000,-0.40699243545532227
12000,-0.3960738182067871
13000,-0.39855730533599854
14000,-0.4049126207828522
15000,-0.38043221831321716
16000,-0.38965797424316406
17000,-0.39124593138694763
18000,-0.39573562145233154
19000,-0.3890141546726227
20000,-0.3753279745578766
21000,-0.3746762275695801
22000,-0.3575325012207031
23000,-0.3418790400028229
24000,-0.33828869462013245
25000,-0.32492512464523315
26000,-0.31846147775650024
27000,-0.30672675371170044
28000,-0.3113192915916443
29000,-0.3140465319156647
30000,-0.31672579050064087
31000,-0.32183197140693665
32000,-0.3179396986961365
33000,-0.3139168620109558
34000,-0.2975078225135803
35000,-0.29776567220687866
36000,-0.30002260208129883
37000,-0.29971179366111755
38000,-0.2923307716846466
39000,-0.2842639088630676
40000,-0.27397412061691284
41000,-0.2687433063983917
42000,-0.2680455446243286
43000,-0.26551365852355957
44000,-0.2599872350692749
45000,-0.25789397954940796
46000,-0.249707892537117
47000,-0.2467377483844757
48000,-0.23872148990631104
49000,-0.2359979897737503
50000,-0.21778292953968048
51000,-0.2071651965379715
52000,-0.1939936727285385
53000,-0.1798344850540161
54000,-0.15416628122329712
55000,-0.14754384756088257
56000,-0.13695219159126282
57000,-0.1274329125881195
58000,-0.1271299421787262
59000,-0.10995910316705704
60000,-0.11414436250925064
61000,-0.11295541375875473
62000,-0.10031703859567642
63000,-0.10569615662097931
64000,-0.1060507521033287
65000,-0.09056933224201202
66000,-0.08834730088710785
67000,-0.10150612890720367
68000,-0.07793137431144714
69000,-0.0684305876493454
70000,-0.0587264783680439
71000,-0.0765075832605362
72000,-0.07354019582271576
73000,-0.06450597941875458
74000,-0.06254638731479645
75000,-0.04210476204752922
76000,-0.03296888247132301
77000,-0.04869629815220833
78000,-0.07169346511363983
79000,-0.0434330478310585
80000,-0.050217002630233765
81000,-0.046200450509786606
82000,-0.03484991937875748
83000,-0.07429499924182892
84000,-0.07552462816238403
85000,-0.09418826550245285
86000,-0.08555181324481964
87000,-0.10541055351495743
88000,-0.1028740406036377
89000,-0.10136214643716812
90000,-0.10377611219882965
91000,-0.10470487922430038
92000,-0.10506373643875122
93000,-0.0929679125547409
94000,-0.08249803632497787
95000,-0.07943568378686905
96000,-0.05883277580142021
97000,-0.05229263752698898
98000,-0.05955476686358452
99000,-0.05854650214314461
100000,-0.04350416734814644
101000,-0.04350752755999565
102000,-0.03590903803706169
103000,-0.0460650697350502
104000,-0.04391777515411377
105000,-0.03231492266058922
106000,-0.03964380547404289
107000,-0.023745350539684296
108000,-0.021347898989915848
109000,-0.011705617420375347
110000,-0.0046303365379571915
111000,0.0064655146561563015
112000,0.011075997725129128
113000,0.014601079747080803
114000,0.019540589302778244
115000,0.026287412270903587
116000,0.04052555561065674
117000,0.046741634607315063
118000,0.048043143004179
119000,0.055619142949581146
120000,0.07451336085796356
121000,0.0827873945236206
122000,0.10007194429636002
123000,0.09583829343318939
124000,0.08822862058877945
125000,0.07856793701648712
126000,0.0678301602602005
127000,0.06885232776403427
128000,0.06508003920316696
129000,0.046469129621982574
130000,0.042215511202812195
131000,0.04500522464513779
132000,0.03263326361775398
133000,0.033752430230379105
134000,0.03797110915184021
135000,0.05213514715433121
136000,0.025741538032889366
137000,0.04114387184381485
138000,0.03605334088206291
139000,0.03289530426263809
140000,0.025712495669722557
141000,0.015799930319190025
142000,0.017595302313566208
143000,0.0008124696905724704
144000,-0.011929931119084358
145000,-0.014607591554522514
146000,-0.01762564852833748
147000,-0.03877050057053566
148000,-0.0543522909283638
149000,-0.06281272321939468
150000,-0.05927532911300659
151000,-0.06587083637714386
152000,-0.06600441038608551
153000,-0.0596991591155529
154000,-0.06149965524673462
155000,-0.06647191196680069
156000,-0.05992000550031662
157000,-0.04927099868655205
158000,-0.03872322663664818
159000,-0.03684346005320549
160000,-0.043070077896118164
161000,-0.04236413910984993
