,events.out.tfevents.1556378386.drltf.events.model
1000,-0.6284456253051758
2000,-0.6848605871200562
3000,-0.7281321883201599
4000,-0.7337304353713989
5000,-0.7508272528648376
6000,-0.7211974263191223
7000,-0.7314149737358093
8000,-0.7312978506088257
9000,-0.7487220168113708
10000,-0.7180546522140503
11000,-0.7176316976547241
12000,-0.7103124260902405
13000,-0.7166363596916199
14000,-0.7281531095504761
15000,-0.6982765197753906
16000,-0.7154719233512878
17000,-0.7219935655593872
18000,-0.7316085696220398
19000,-0.7185800671577454
20000,-0.7092425227165222
21000,-0.6955227851867676
22000,-0.6833559274673462
23000,-0.6578332781791687
24000,-0.6645023822784424
25000,-0.6640977263450623
26000,-0.6594054102897644
27000,-0.6395045518875122
28000,-0.6495035886764526
29000,-0.6615851521492004
30000,-0.6750638484954834
31000,-0.6941818594932556
32000,-0.699710488319397
33000,-0.6924595236778259
34000,-0.6667288541793823
35000,-0.676510214805603
36000,-0.6891766786575317
37000,-0.699167013168335
38000,-0.6847840547561646
39000,-0.6766303777694702
40000,-0.6597278118133545
41000,-0.6591440439224243
42000,-0.6746691465377808
43000,-0.688298761844635
44000,-0.6931039094924927
45000,-0.7116037607192993
46000,-0.7132089138031006
47000,-0.7211560606956482
48000,-0.7200111746788025
49000,-0.7320845127105713
50000,-0.7018119096755981
51000,-0.6937044858932495
52000,-0.6756231784820557
53000,-0.6563359498977661
54000,-0.6131879091262817
55000,-0.6211938858032227
56000,-0.6127133965492249
57000,-0.6031554937362671
58000,-0.6223697066307068
59000,-0.6013048887252808
60000,-0.607142448425293
61000,-0.615630030632019
62000,-0.6041502952575684
63000,-0.6229208111763
64000,-0.623558521270752
65000,-0.6089299321174622
66000,-0.5932660102844238
67000,-0.6302894353866577
68000,-0.6108356714248657
69000,-0.5907921195030212
70000,-0.5786040425300598
71000,-0.6181747317314148
72000,-0.6280013918876648
73000,-0.6239438056945801
74000,-0.6376264095306396
75000,-0.6122105717658997
76000,-0.6067919731140137
77000,-0.6406452059745789
78000,-0.6794334650039673
79000,-0.6403694748878479
80000,-0.6395643353462219
81000,-0.6333217620849609
82000,-0.6008147597312927
83000,-0.64934241771698
84000,-0.6359182596206665
85000,-0.6670032739639282
86000,-0.6502845287322998
87000,-0.6689258813858032
88000,-0.6560162305831909
89000,-0.6517113447189331
90000,-0.6424455046653748
91000,-0.6444454193115234
92000,-0.6482109427452087
93000,-0.6332281827926636
94000,-0.612179696559906
95000,-0.6157463192939758
96000,-0.5876036882400513
97000,-0.5803085565567017
98000,-0.6051929593086243
99000,-0.6243825554847717
100000,-0.6127880811691284
101000,-0.6195676326751709
102000,-0.6093289256095886
103000,-0.6354945302009583
104000,-0.641257643699646
105000,-0.6301121115684509
106000,-0.6553309559822083
107000,-0.6302651762962341
108000,-0.6219903826713562
109000,-0.6043071150779724
110000,-0.6020042300224304
111000,-0.5889810919761658
112000,-0.5954695343971252
113000,-0.5951410531997681
114000,-0.5867480039596558
115000,-0.5716781616210938
116000,-0.5662603974342346
117000,-0.56731116771698
118000,-0.587258517742157
119000,-0.5862222909927368
120000,-0.5542315244674683
121000,-0.5493991374969482
122000,-0.5213042497634888
123000,-0.5320448279380798
124000,-0.5451422333717346
125000,-0.559991717338562
126000,-0.5710628628730774
127000,-0.5474927425384521
128000,-0.5376937389373779
129000,-0.5513454675674438
130000,-0.5598106980323792
131000,-0.5435842275619507
132000,-0.5663955211639404
133000,-0.5568594932556152
134000,-0.5411812663078308
135000,-0.5166528224945068
136000,-0.567196249961853
137000,-0.5417861938476562
138000,-0.5456579327583313
139000,-0.5453940629959106
140000,-0.5507098436355591
141000,-0.5557515025138855
142000,-0.5414799451828003
143000,-0.563809335231781
144000,-0.5741997361183167
145000,-0.5643237233161926
146000,-0.5475696921348572
147000,-0.5654336214065552
148000,-0.5823613405227661
149000,-0.5912029147148132
150000,-0.578069806098938
151000,-0.5895471572875977
152000,-0.5794752836227417
153000,-0.5688088536262512
154000,-0.5750447511672974
155000,-0.5871143341064453
156000,-0.5805178880691528
157000,-0.5647414922714233
158000,-0.54860919713974
159000,-0.5459081530570984
160000,-0.5586948990821838
161000,-0.5604842901229858
162000,-0.5522841215133667
163000,-0.5530983805656433
164000,-0.5583900213241577
165000,-0.5583571195602417
166000,-0.5640994310379028
167000,-0.5619165897369385
168000,-0.5402827858924866
169000,-0.5541085004806519
170000,-0.5429338216781616
171000,-0.5239640474319458
172000,-0.5249083638191223
173000,-0.49983710050582886
174000,-0.48770564794540405
175000,-0.48043113946914673
176000,-0.48004350066185
177000,-0.4655016362667084
178000,-0.4513806700706482
179000,-0.4724923074245453
180000,-0.48928746581077576
181000,-0.4750348627567291
182000,-0.45878076553344727
183000,-0.4749649465084076
184000,-0.4688575863838196
185000,-0.48506706953048706
186000,-0.48105373978614807
187000,-0.4806637763977051
188000,-0.48940110206604004
189000,-0.5013939142227173
190000,-0.5151451826095581
191000,-0.5138990879058838
192000,-0.5139594674110413
193000,-0.5471696853637695
194000,-0.5564565062522888
195000,-0.5559681057929993
