,events.out.tfevents.1556378386.drltf.events.model
1000,-0.8888888955116272
2000,-1.0
3000,-1.0
4000,-1.0
5000,-1.0
6000,-0.8999999761581421
7000,-1.0
8000,-0.800000011920929
9000,-0.8999999761581421
10000,-0.8999999761581421
11000,-1.0
12000,-1.0
13000,-1.0
14000,-1.0
15000,-0.800000011920929
16000,-0.800000011920929
17000,-1.0
18000,-1.0
19000,-0.8999999761581421
20000,-1.0
21000,-0.699999988079071
22000,-0.8999999761581421
23000,-0.800000011920929
24000,-1.0
25000,-1.0
26000,-1.0
27000,-0.699999988079071
28000,-1.0
29000,-0.8999999761581421
30000,-1.0
31000,-1.0
32000,-1.0
33000,-0.8999999761581421
34000,-0.800000011920929
35000,-0.8999999761581421
36000,-1.0
37000,-1.0
38000,-0.8999999761581421
39000,-0.8999999761581421
40000,-0.800000011920929
41000,-0.800000011920929
42000,-1.0
43000,-1.0
44000,-1.0
45000,-1.0
46000,-1.0
47000,-0.8999999761581421
48000,-0.8999999761581421
49000,-0.8999999761581421
50000,-0.800000011920929
51000,-0.8999999761581421
52000,-0.800000011920929
53000,-0.800000011920929
54000,-0.699999988079071
55000,-0.8999999761581421
56000,-0.699999988079071
57000,-0.8999999761581421
58000,-1.0
59000,-0.800000011920929
60000,-0.8999999761581421
61000,-0.8999999761581421
62000,-0.800000011920929
63000,-0.8999999761581421
64000,-0.800000011920929
65000,-0.8999999761581421
66000,-0.699999988079071
67000,-1.0
68000,-0.699999988079071
69000,-0.699999988079071
70000,-0.699999988079071
71000,-1.0
72000,-1.0
73000,-0.8999999761581421
74000,-0.800000011920929
75000,-0.800000011920929
76000,-1.0
77000,-0.699999988079071
78000,-1.0
79000,-0.8999999761581421
80000,-0.8999999761581421
81000,-0.8999999761581421
82000,-0.6000000238418579
83000,-1.0
84000,-0.8999999761581421
85000,-1.0
86000,-0.8999999761581421
87000,-1.0
88000,-0.8999999761581421
89000,-0.800000011920929
90000,-0.6000000238418579
91000,-0.8999999761581421
92000,-0.8999999761581421
93000,-0.800000011920929
94000,-0.8999999761581421
95000,-0.8999999761581421
96000,-0.800000011920929
97000,-0.800000011920929
98000,-1.0
99000,-0.8999999761581421
100000,-1.0
101000,-1.0
102000,-0.8999999761581421
103000,-1.0
104000,-0.800000011920929
105000,-0.800000011920929
106000,-0.800000011920929
107000,-0.8999999761581421
108000,-0.800000011920929
109000,-0.800000011920929
110000,-0.8999999761581421
111000,-0.8999999761581421
112000,-0.8999999761581421
113000,-0.8999999761581421
114000,-0.699999988079071
115000,-0.800000011920929
116000,-0.699999988079071
117000,-0.8999999761581421
118000,-1.0
119000,-0.800000011920929
120000,-0.6000000238418579
121000,-1.0
122000,-0.699999988079071
123000,-1.0
124000,-0.800000011920929
125000,-0.800000011920929
126000,-0.699999988079071
127000,-0.699999988079071
128000,-0.800000011920929
129000,-0.800000011920929
130000,-0.8999999761581421
131000,-0.800000011920929
132000,-0.800000011920929
133000,-0.800000011920929
134000,-0.699999988079071
135000,-0.699999988079071
136000,-1.0
137000,-0.699999988079071
138000,-0.699999988079071
