,events.out.tfevents.1556378386.drltf.events.model
1000,0.0
2000,228.47442626953125
3000,272.71875
4000,226.803955078125
5000,274.6604309082031
6000,221.97303771972656
7000,245.9007110595703
8000,249.85816955566406
9000,254.562744140625
10000,241.2201385498047
11000,242.95314025878906
12000,230.95008850097656
13000,254.6331329345703
14000,237.48956298828125
15000,238.80043029785156
16000,252.48745727539062
17000,250.8675079345703
18000,247.29452514648438
19000,264.1293640136719
20000,234.49484252929688
21000,267.02667236328125
22000,225.26559448242188
23000,254.997802734375
24000,254.13772583007812
25000,229.30026245117188
26000,248.6786346435547
27000,244.40428161621094
28000,241.11349487304688
29000,256.5017395019531
30000,247.56259155273438
31000,253.34860229492188
32000,259.82366943359375
33000,239.0791778564453
34000,257.21697998046875
35000,219.70437622070312
36000,254.9119415283203
37000,233.58218383789062
38000,260.2506103515625
39000,244.83529663085938
40000,254.875244140625
41000,247.98348999023438
42000,256.5735168457031
43000,245.42491149902344
44000,253.06732177734375
45000,248.70822143554688
46000,251.86294555664062
47000,232.53407287597656
48000,246.85690307617188
49000,227.3046875
50000,248.92160034179688
51000,243.67832946777344
52000,249.77578735351562
53000,230.72837829589844
54000,225.73556518554688
55000,246.01991271972656
56000,243.45306396484375
57000,256.8526916503906
58000,241.01490783691406
59000,222.5738525390625
60000,258.697998046875
61000,247.8773956298828
62000,224.18780517578125
63000,258.095703125
64000,266.2828369140625
65000,227.38954162597656
66000,248.53289794921875
67000,253.8231964111328
68000,221.99896240234375
69000,231.2196807861328
70000,251.60984802246094
71000,239.0137176513672
72000,258.2402038574219
73000,244.4313507080078
74000,253.10145568847656
75000,234.68141174316406
76000,256.7684020996094
77000,239.8812255859375
78000,268.4701232910156
79000,232.74215698242188
80000,239.0885009765625
81000,247.6670379638672
82000,224.96185302734375
83000,242.14317321777344
84000,256.5517272949219
85000,243.83326721191406
86000,256.955810546875
87000,239.74436950683594
88000,258.99639892578125
89000,255.625732421875
90000,225.37339782714844
91000,262.64337158203125
92000,225.00572204589844
93000,246.25205993652344
94000,248.8956756591797
95000,247.50997924804688
96000,228.33599853515625
97000,242.07676696777344
98000,248.8655548095703
99000,235.36260986328125
100000,249.21665954589844
101000,257.8463439941406
102000,235.60557556152344
103000,259.3692626953125
104000,254.30902099609375
105000,231.76551818847656
106000,248.91468811035156
107000,229.91961669921875
108000,244.79576110839844
109000,254.24952697753906
110000,245.03872680664062
111000,254.01295471191406
112000,268.3603210449219
113000,241.86314392089844
114000,250.515869140625
115000,251.07383728027344
116000,242.29315185546875
117000,257.0145263671875
118000,254.92276000976562
119000,260.3807373046875
120000,222.04685974121094
121000,245.7021026611328
122000,246.46881103515625
123000,249.69888305664062
124000,263.1136169433594
125000,237.81846618652344
126000,241.08932495117188
127000,261.7399597167969
128000,250.28785705566406
129000,224.04229736328125
130000,259.6984558105469
131000,229.2633819580078
132000,236.15907287597656
133000,262.4420166015625
134000,244.07516479492188
135000,247.17784118652344
136000,257.72076416015625
137000,261.93182373046875
138000,229.1974639892578
139000,247.03390502929688
140000,248.32931518554688
141000,254.63092041015625
142000,240.26536560058594
143000,234.5788116455078
144000,248.82711791992188
145000,248.97613525390625
146000,262.94573974609375
147000,227.11293029785156
148000,264.5174560546875
149000,247.01560974121094
150000,250.1390380859375
151000,229.361572265625
152000,250.2701873779297
153000,235.92056274414062
154000,242.31239318847656
155000,235.58084106445312
156000,254.0875244140625
157000,238.03724670410156
158000,232.45184326171875
159000,234.77206420898438
160000,252.34449768066406
161000,238.2477569580078
162000,248.9960174560547
163000,239.18011474609375
164000,248.7998809814453
165000,241.5248260498047
166000,275.2454833984375
167000,240.5675048828125
168000,250.27427673339844
169000,246.2946014404297
170000,244.03152465820312
171000,241.27940368652344
172000,232.71119689941406
173000,245.71170043945312
174000,258.04638671875
175000,216.00564575195312
176000,264.8522033691406
177000,256.53857421875
178000,234.62164306640625
179000,264.49932861328125
180000,229.63525390625
181000,254.81138610839844
182000,227.276611328125
183000,273.6744079589844
184000,229.96629333496094
185000,240.71575927734375
186000,225.10296630859375
187000,236.91586303710938
188000,277.338134765625
189000,250.0692596435547
190000,229.61553955078125
191000,245.9872283935547
192000,247.2285614013672
193000,243.32882690429688
194000,250.60504150390625
195000,238.38499450683594
196000,267.14385986328125
197000,236.62088012695312
198000,211.6099090576172
199000,266.353759765625
200000,225.3481903076172
201000,234.25909423828125
202000,259.0645751953125
203000,252.80628967285156
204000,230.017333984375
205000,235.3618621826172
206000,264.60919189453125
207000,225.4460906982422
208000,237.41677856445312
209000,253.41036987304688
210000,244.16903686523438
211000,253.61375427246094
212000,284.7892761230469
213000,208.00523376464844
214000,245.99636840820312
215000,274.7093200683594
216000,256.85284423828125
217000,254.51756286621094
218000,205.05078125
219000,232.11561584472656
220000,248.17604064941406
221000,245.93194580078125
222000,263.69329833984375
223000,233.39634704589844
224000,251.43048095703125
225000,217.81727600097656
226000,274.29974365234375
227000,227.12924194335938
228000,262.4021301269531
229000,240.2518768310547
230000,240.7114715576172
231000,209.69442749023438
232000,248.73223876953125
233000,234.87237548828125
234000,244.2855682373047
235000,256.0162658691406
236000,226.07081604003906
237000,270.3118591308594
238000,264.5734558105469
239000,210.83297729492188
240000,246.87606811523438
241000,252.91409301757812
242000,202.9321746826172
243000,266.38232421875
244000,235.30323791503906
245000,214.79595947265625
246000,258.8412780761719
247000,239.104736328125
248000,258.5276794433594
249000,266.646240234375
250000,241.49046325683594
251000,248.75584411621094
252000,239.796630859375
253000,218.6439208984375
254000,272.54541015625
255000,231.92942810058594
256000,252.47569274902344
257000,230.66209411621094
258000,246.30857849121094
259000,251.0291748046875
260000,229.41159057617188
261000,263.8399963378906
262000,223.70639038085938
263000,232.08193969726562
264000,249.56480407714844
265000,234.83412170410156
266000,268.7027893066406
267000,249.97450256347656
268000,231.34544372558594
269000,246.6124267578125
270000,233.59915161132812
271000,266.0955505371094
272000,260.8302001953125
273000,225.58697509765625
274000,249.4873046875
275000,225.5080108642578
276000,242.9586181640625
277000,229.37948608398438
278000,252.8044891357422
279000,260.1233215332031
280000,218.9063720703125
281000,251.50144958496094
282000,230.09649658203125
283000,265.031982421875
284000,238.92213439941406
285000,232.81723022460938
286000,225.15841674804688
287000,249.07461547851562
288000,251.80125427246094
289000,207.5363311767578
290000,235.37303161621094
291000,221.64791870117188
292000,250.7260284423828
293000,236.28646850585938
294000,270.8161315917969
295000,261.6727294921875
296000,201.85940551757812
297000,252.1797332763672
298000,229.01919555664062
299000,232.23204040527344
300000,226.87417602539062
301000,264.6861267089844
302000,239.12802124023438
303000,245.65806579589844
304000,259.1330871582031
305000,228.24818420410156
306000,257.91357421875
307000,270.8182678222656
308000,223.87176513671875
309000,223.58372497558594
310000,256.8349609375
311000,217.49038696289062
312000,255.82818603515625
313000,239.28126525878906
314000,251.52635192871094
315000,248.95114135742188
316000,221.32586669921875
317000,221.46865844726562
318000,255.91688537597656
319000,246.3511962890625
320000,229.7080078125
321000,255.4769744873047
322000,249.93234252929688
323000,247.8612518310547
324000,183.8750457763672
325000,263.0733337402344
326000,262.5828552246094
327000,213.0075225830078
328000,269.047119140625
329000,250.9490966796875
330000,228.64695739746094
331000,269.09539794921875
332000,232.7157745361328
